Gene name	miRBase ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
MIR3179-3	hsa-mir-3179-3	16	18411894	18411977
MIR3179-3	hsa-mir-3179-4	16	18411894	18411977
MIR517C	hsa-mir-517c	19	53741313	53741407
MIR7977	hsa-mir-7977	3	176515103	176515151
MIR1973	hsa-mir-1973	4	116299725	116299768
MIR4454	hsa-mir-4454	4	163093574	163093628
MIR582	hsa-mir-582	5	59703606	59703703
MIR6086	hsa-mir-6086	X	13590292	13590346
MIR4711	hsa-mir-4711	1	59733227	59733296
MIR3117	hsa-mir-3117	1	66628440	66628517
MIR942	hsa-mir-942	1	117094643	117094728
MIR3123	hsa-mir-3123	1	241132272	241132346
MIR4294	hsa-mir-4294	10	48985512	48985587
MIR7113	hsa-mir-7113	11	68032864	68032922
MIR3922	hsa-mir-3922	12	104591633	104591716
MIR541	hsa-mir-541	14	101064495	101064578
MIR211	hsa-mir-211	15	31065032	31065141
MIR3180-5	hsa-mir-3180-5	16	2135977	2136129
MIR3178	hsa-mir-3178	16	2531922	2532005
MIR5047	hsa-mir-5047	17	64501214	64501313
MIR4756	hsa-mir-4756	20	54068408	54068485
MIR6724-3	hsa-mir-6724-1	21	8388362	8388453
MIR6724-3	hsa-mir-6724-2	21	8388362	8388453
MIR6724-3	hsa-mir-6724-3	21	8388362	8388453
MIR6724-3	hsa-mir-6724-4	21	8388362	8388453
MIR3198-1	hsa-mir-3198-1	22	17764180	17764259
MIR130B	hsa-mir-130b	22	21653304	21653385
MIR378I	hsa-mir-378i	22	41923222	41923297
MIR5003	hsa-mir-5003	5	172662165	172662263
MIR4640	hsa-mir-4640	6	30890883	30890972
MIR6834	hsa-mir-6834	6	33290245	33290325
MIR3666	hsa-mir-3666	7	114653345	114653455
MIR4664	hsa-mir-4664	8	143733083	143733153
MIR452	hsa-mir-452	X	151959628	151959712
MIR604	hsa-mir-604	10	29545004	29545097
MIR8070	hsa-mir-8070	11	11783135	11783222
MIR34C	hsa-mir-34c	11	111513439	111513515
MIR4504	hsa-mir-4504	14	50299855	50299946
MIR5701-1	hsa-mir-5701-1	15	20940252	20940333
MIR5701-1	hsa-mir-5701-2	15	20940252	20940333
MIR5701-1	hsa-mir-5701-3	15	20940252	20940333
MIR4509-3	hsa-mir-4509-1	15	28490752	28490845
MIR4509-3	hsa-mir-4509-2	15	28490752	28490845
MIR4509-3	hsa-mir-4509-3	15	28490752	28490845
MIR7-2	hsa-mir-7-2	15	88611825	88611934
MIR635	hsa-mir-635	17	68424451	68424548
MIR5695	hsa-mir-5695	19	12920320	12920404
MIR515-1	hsa-mir-515-1	19	53679003	53679085
MIR515-1	hsa-mir-515-2	19	53679003	53679085
MIR520A	hsa-mir-520a	19	53690881	53690965
MIR4782	hsa-mir-4782	2	113721290	113721368
MIR6888	hsa-mir-6888	2	159186835	159186901
MIR125B2	hsa-mir-125b-2	21	16590237	16590325
MIR711	hsa-mir-711	3	48578902	48578977
MIR4286	hsa-mir-4286	8	10666978	10667070
MIR4290	hsa-mir-4290	9	90023441	90023535
MIR6081	hsa-mir-6081	9	95065350	95065446
MIR514A3	hsa-mir-514a-2	X	147284641	147284728
MIR514A3	hsa-mir-514a-3	X	147284641	147284728
MIR3917	hsa-mir-3917	1	25906362	25906454
MIR760	hsa-mir-760	1	93846832	93846911
MIR605	hsa-mir-605	10	51299573	51299655
MIR3663	hsa-mir-3663	10	117167678	117167774
MIR8087	hsa-mir-8087	11	27514970	27515047
MIR1244-4	hsa-mir-1244-1	12	12111952	12112036
MIR1244-4	hsa-mir-1244-2	12	12111952	12112036
MIR1244-4	hsa-mir-1244-3	12	12111952	12112036
MIR1244-4	hsa-mir-1244-4	12	12111952	12112036
MIR5693	hsa-mir-5693	13	51348567	51348639
MIR2681	hsa-mir-2681	13	101967642	101967746
MIR323A	hsa-mir-323a	14	101025732	101025817
MIR154	hsa-mir-154	14	101059755	101059838
MIR1233-2	hsa-mir-1233-1	15	34528290	34528371
MIR1233-2	hsa-mir-1233-2	15	34528290	34528371
MIR6867	hsa-mir-6867	17	40193597	40193663
MIR7975	hsa-mir-7975	19	55123225	55123292
MIR6805	hsa-mir-6805	19	55388181	55388242
MIR4440	hsa-mir-4440	2	239068817	239068914
MIR659	hsa-mir-659	22	37847678	37847774
MIR6125	hsa-mir-6125	12	62260359	62260454
MIR194-1	hsa-mir-194-1	1	220118157	220118241
MIR4273	hsa-mir-4273	3	75738280	75738363
MIR8072	hsa-mir-8072	12	123364764	123364843
MIR8054	hsa-mir-8054	11	23419105	23419190
MIR3137	hsa-mir-3137	3	195134506	195134580
MIR6717	hsa-mir-6717	14	21023314	21023386
MIR6075	hsa-mir-6075	5	1510762	1510856
MIR129-2	hsa-mir-129-2	11	43581394	43581483
MIR379	hsa-mir-379	14	101022066	101022132
MIR3939	hsa-mir-3939	6	166997807	166997912
MIR4309	hsa-mir-4309	14	102539644	102539726
MIR4667	hsa-mir-4667	9	35608094	35608159
MIR495	hsa-mir-495	14	101033755	101033836
MIR627	hsa-mir-627	15	42199570	42199666
MIR363	hsa-mir-363	X	134169378	134169452
MIR4311	hsa-mir-4311	15	66040233	66040332
MIR3118-3	hsa-mir-3118-2	15	21406385	21406459
MIR3118-3	hsa-mir-3118-3	15	21406385	21406459
MIR3118-3	hsa-mir-3118-4	15	21406385	21406459
MIR5009	hsa-mir-5009	15	89883931	89884030
MIR1972-2	hsa-mir-1972-1	16	70030346	70030422
MIR1972-2	hsa-mir-1972-2	16	70030346	70030422
MIR4520-2	hsa-mir-4520-2	17	6655449	6655502
MIR1180	hsa-mir-1180	17	19344506	19344574
MIR6129	hsa-mir-6129	17	49288346	49288454
MIR5089	hsa-mir-5089	17	46973017	46973100
MIR1250	hsa-mir-1250	17	81133196	81133308
MIR5190	hsa-mir-5190	18	13459947	13460026
MIR6885	hsa-mir-6885	19	6389638	6389703
MIR4323	hsa-mir-4323	19	42133445	42133513
MIR4750	hsa-mir-4750	19	49888175	49888230
MIR663B	hsa-mir-663b	2	132256966	132257080
MIR6809	hsa-mir-6809	2	217900513	217900628
MIR4761	hsa-mir-4761	22	19963753	19963834
MIR6501	hsa-mir-6501	21	33550662	33550728
MIR649	hsa-mir-649	22	21034176	21034272
MIR3928	hsa-mir-3928	22	31160062	31160119
MIR4534	hsa-mir-4534	22	37988794	37988853
MIR944	hsa-mir-944	3	189829922	189830009
MIR4636	hsa-mir-4636	5	9053816	9053895
MIR218-1	hsa-mir-218-1	4	20528275	20528384
MIR449B	hsa-mir-449b	5	55170646	55170742
MIR146A	hsa-mir-146a	5	160485352	160485450
MIR340	hsa-mir-340	5	180015303	180015397
MIR4647	hsa-mir-4647	6	44254206	44254285
MIR1273C	hsa-mir-1273c	6	154853360	154853436
MIR489	hsa-mir-489	7	93483936	93484019
MIR4650-2	hsa-mir-4650-1	7	72697903	72697978
MIR4650-2	hsa-mir-4650-2	7	72697903	72697978
MIR29A	hsa-mir-29a	7	130876747	130876810
MIR548O	hsa-mir-548o	7	102405742	102405855
MIR3148	hsa-mir-3148	8	29957272	29957348
MIR599	hsa-mir-599	8	99536636	99536730
MIR4470	hsa-mir-4470	8	61714788	61714859
MIR4471	hsa-mir-4471	8	100382763	100382845
MIR151A	hsa-mir-151a	8	140732564	140732653
MIR6852	hsa-mir-6852	9	35710676	35710741
MIR27B	hsa-mir-27b	9	95085445	95085541
MIR98	hsa-mir-98	X	53556223	53556341
MIR3689A	hsa-mir-3689a	9	134849487	134849564
MIR3202-2	hsa-mir-3202-2	X	153981098	153981176
AL928646.1		X	109054542	109054590
MIR6727	hsa-mir-6727	1	1312502	1312566
MIR4781	hsa-mir-4781	1	54054079	54054154
MIR555	hsa-mir-555	1	155346350	155346445
MIR3658	hsa-mir-3658	1	165907921	165907976
MIR214	hsa-mir-214	1	172138798	172138907
MIR6742	hsa-mir-6742	1	228397048	228397109
MIR6072	hsa-mir-6072	10	2076019	2076089
MIR6078	hsa-mir-6078	10	3991160	3991259
MIR548Q	hsa-mir-548q	10	12725254	12725353
MIR1265	hsa-mir-1265	10	14436576	14436661
MIR615	hsa-mir-615	12	54033950	54034045
MIR5700	hsa-mir-5700	12	94561789	94561859
MIR409	hsa-mir-409	14	101065300	101065378
MIR6859-4	hsa-mir-6859-1	16	17052	17119
MIR6859-4	hsa-mir-6859-2	16	17052	17119
MIR6859-4	hsa-mir-6859-3	16	17052	17119
MIR6859-4	hsa-mir-6859-4	16	17052	17119
MIR4718	hsa-mir-4718	16	12720321	12720371
MIR6511A1	hsa-mir-6511a-1	16	14925937	14926003
MIR6511A1	hsa-mir-6511a-2	16	14925937	14926003
MIR6511A1	hsa-mir-6511a-3	16	14925937	14926003
MIR6511A1	hsa-mir-6511a-4	16	14925937	14926003
MIR4743	hsa-mir-4743	18	48670600	48670668
MIR518D	hsa-mir-518d	19	53734877	53734963
MIR8061	hsa-mir-8061	19	54645309	54645383
MIR3134	hsa-mir-3134	3	15697298	15697371
MIR548P	hsa-mir-548p	5	100816482	100816565
MIR206	hsa-mir-206	6	52144349	52144434
MIR1302-6	hsa-mir-1302-6	7	18127220	18127309
MIR595	hsa-mir-595	7	158532718	158532813
MIR3622A	hsa-mir-3622a	8	27701677	27701759
MIR4287	hsa-mir-4287	8	27886039	27886116
MIR5708	hsa-mir-5708	8	80241389	80241473
MIR509-3	hsa-mir-509-3	X	147259652	147259726
MIR4794	hsa-mir-4794	1	64579847	64579923
MIR3671	hsa-mir-3671	1	65057755	65057842
AL606469.2		10	23393405	23393467
MIR7152	hsa-mir-7152	10	71790747	71790800
MIR6748	hsa-mir-6748	11	62789815	62789885
MIR6505	hsa-mir-6505	12	48132797	48132867
MIR4706	hsa-mir-4706	14	65044688	65044769
MIR345	hsa-mir-345	14	100307859	100307956
MIR4418	hsa-mir-4418	1	22266239	22266300
MIR3677	hsa-mir-3677	16	2270713	2270772
MIR3162	hsa-mir-3162	11	59595077	59595158
MIR6864	hsa-mir-6864	17	4969702	4969771
MIR1908	hsa-mir-1908	11	61815161	61815240
MIR365B	hsa-mir-365b	17	31575411	31575521
MIR139	hsa-mir-139	11	72615063	72615130
MIR4433A	hsa-mir-4433a	2	64340759	64340839
MIR4692	hsa-mir-4692	11	72783530	72783592
MIR1825	hsa-mir-1825	20	32237795	32237847
MIR4493	hsa-mir-4493	11	123381440	123381512
MIR5188	hsa-mir-5188	12	124915547	124915659
MIR4327	hsa-mir-4327	21	30375294	30375378
MIR668	hsa-mir-668	14	101055258	101055323
MIRLET7A3	hsa-let-7a-3	22	46112749	46112822
MIR193B	hsa-mir-193b	16	14303967	14304049
MIR1284	hsa-mir-1284	3	71541970	71542089
MIR3670-3	hsa-mir-3670-1	16	18405698	18405762
MIR3670-3	hsa-mir-3670-2	16	18405698	18405762
MIR3670-3	hsa-mir-3670-3	16	18405698	18405762
MIR3670-3	hsa-mir-3670-4	16	18405698	18405762
MIR579	hsa-mir-579	5	32394378	32394475
MIR4517	hsa-mir-4517	16	28958583	28958661
MIR5197	hsa-mir-5197	5	143679860	143679971
MIR195	hsa-mir-195	17	7017615	7017701
MIR3691	hsa-mir-3691	6	5148233	5148322
MIR4528	hsa-mir-4528	18	53237101	53237190
MIR3925	hsa-mir-3925	6	36622436	36622512
MIR4745	hsa-mir-4745	19	804940	805001
MIR320A		8	22244962	22245043
MIR4531	hsa-mir-4531	19	44653686	44653732
MIR4663	hsa-mir-4663	8	123215788	123215863
MIR1283-2	hsa-mir-1283-2	19	53758232	53758318
MIR6854	hsa-mir-6854	9	98229149	98229217
MIR1302-4	hsa-mir-1302-4	2	207269275	207269424
MIR4673	hsa-mir-4673	9	136519568	136519626
MIR4268	hsa-mir-4268	2	219906502	219906565
MIR4479	hsa-mir-4479	9	136886733	136886803
MIR3648-1	hsa-mir-3648-1	21	8208473	8208652
MIR3648-1	hsa-mir-3648-2	21	8208473	8208652
MIR718	hsa-mir-718	X	154019920	154019989
MIR4444-2	hsa-mir-4444-1	3	75214476	75214549
MIR4444-2	hsa-mir-4444-2	3	75214476	75214549
MIR548I2	hsa-mir-548i-2	4	9556168	9556316
MIR4276	hsa-mir-4276	4	174423795	174423864
MIR378G	hsa-mir-378g	1	94745860	94745900
MIR6721	hsa-mir-6721	6	32170030	32170116
MIR6751	hsa-mir-6751	11	65129916	65129978
MIR939	hsa-mir-939	8	144394149	144394230
MIR1827	hsa-mir-1827	12	100189884	100189949
MIR4477B	hsa-mir-4477a	9	63819574	63819654
MIR4477B	hsa-mir-4477b	9	63819574	63819654
MIR7106	hsa-mir-7106	12	113159113	113159177
MIR7114	hsa-mir-7114	9	137450026	137450086
MIR3183	hsa-mir-3183	17	1022476	1022559
MIR4536-1	hsa-mir-4536-1	X	55451495	55451582
MIR4536-1	hsa-mir-4536-2	X	55451495	55451582
MIR423	hsa-mir-423	17	30117079	30117172
MIR4329	hsa-mir-4329	X	112780718	112780788
MIR548D2	hsa-mir-548d-2	17	67471489	67471585
MIR548D2	hsa-mir-548aa-2	17	67471489	67471585
MIR18B	hsa-mir-18b	X	134170041	134170111
MIR4433B	hsa-mir-4433b	2	64340747	64340848
MIR934	hsa-mir-934	X	136550878	136550960
MIR3129	hsa-mir-3129	2	189133036	189133111
MIR892B	hsa-mir-892b	X	145997198	145997274
MIR1292	hsa-mir-1292	20	2652777	2652842
MIR4755	hsa-mir-4755	20	34049119	34049190
MIR4533	hsa-mir-4533	20	60478111	60478181
MIR6724-4	hsa-mir-6724-1	21	8432530	8432621
MIR6724-4	hsa-mir-6724-2	21	8432530	8432621
MIR6724-4	hsa-mir-6724-3	21	8432530	8432621
MIR6724-4	hsa-mir-6724-4	21	8432530	8432621
MIR3619	hsa-mir-3619	22	46091044	46091126
MIR8053	hsa-mir-8053	4	47652669	47652743
MIR4639	hsa-mir-4639	6	16141556	16141624
MIR6835	hsa-mir-6835	6	34240673	34240736
MIR2113	hsa-mir-2113	6	98024531	98024621
MIR592	hsa-mir-592	7	127058088	127058184
MIR182	hsa-mir-182	7	129770383	129770492
MIR661	hsa-mir-661	8	143945191	143945279
MIR7150	hsa-mir-7150	9	123485529	123485622
MIR4252	hsa-mir-4252	1	6429834	6429896
MIR4427	hsa-mir-4427	1	233624152	233624219
MIR4676	hsa-mir-4676	10	72721029	72721100
MIR1287	hsa-mir-1287	10	98395218	98395307
MIR6750	hsa-mir-6750	11	64898363	64898437
MIR4306	hsa-mir-4306	13	99643059	99643149
MIR2392	hsa-mir-2392	14	100814491	100814574
MIR3529	hsa-mir-3529	15	88611847	88611924
MIR5589	hsa-mir-5589	19	10038354	10038413
MIR512-1	hsa-mir-512-1	19	53666679	53666762
MIR518F	hsa-mir-518f	19	53700015	53700101
MIR5000	hsa-mir-5000	2	75090812	75090914
MIR548O2	hsa-mir-548o-2	20	38516563	38516632
MIR6069	hsa-mir-6069	22	35336721	35336799
MIR6820	hsa-mir-6820	22	37967563	37967624
MIR378C	hsa-mir-378c	10	130962588	130962668
MIR145	hsa-mir-145	5	149430646	149430733
MIR210	hsa-mir-210	11	568089	568198
MIR7853	hsa-mir-7853	6	6169304	6169435
MIR5691	hsa-mir-5691	11	9090312	9090379
MIR3609	hsa-mir-3609	7	98881650	98881729
MIR3913-2	hsa-mir-3913-2	12	69584723	69584822
MIR199B	hsa-mir-199b	9	128244721	128244830
MIR3168	hsa-mir-3168	13	41101019	41101100
MIR6771	hsa-mir-6771	16	50292616	50292675
MIR7854	hsa-mir-7854	16	81533902	81533966
MIR4315-2	hsa-mir-4315-1	17	64822030	64822102
MIR4315-2	hsa-mir-4315-2	17	64822030	64822102
MIR3615	hsa-mir-3615	17	74748613	74748699
MIR3065	hsa-mir-3065	17	81125877	81125955
MIR5088	hsa-mir-5088	19	49682117	49682195
MIR516B2	hsa-mir-516b-2	19	53725442	53725526
MIR3126	hsa-mir-3126	2	69103682	69103755
MIR6512	hsa-mir-6512	2	177313806	177313882
MIR5702	hsa-mir-5702	2	226658710	226658793
MIR6822	hsa-mir-6822	3	39138206	39138266
MIR3938	hsa-mir-3938	3	55852492	55852594
MIR548AB	hsa-mir-548ab	3	103524033	103524116
MIR922	hsa-mir-922	3	197674496	197674576
MIR1269A	hsa-mir-1269a	4	66276824	66276928
MIR578	hsa-mir-578	4	165386242	165386337
MIR6836	hsa-mir-6836	7	2257515	2257577
MIR6849	hsa-mir-6849	8	144400277	144400345
MIR221	hsa-mir-221	X	45746157	45746266
MIR374A	hsa-mir-374a	X	74287286	74287357
MIR890	hsa-mir-890	X	145994275	145994351
MIR1184-3	hsa-mir-1184-1	X	155457517	155457615
MIR1184-3	hsa-mir-1184-2	X	155457517	155457615
MIR1184-3	hsa-mir-1184-3	X	155457517	155457615
MIR551A	hsa-mir-551a	1	3560695	3560790
MIR4679-1	hsa-mir-4679-1	10	89063336	89063410
MIR3161	hsa-mir-3161	11	48096782	48096858
MIR3612	hsa-mir-3612	12	128294092	128294178
MIR3169	hsa-mir-3169	13	61199798	61199880
MIR4310	hsa-mir-4310	15	41866495	41866551
MIR6859-1	hsa-mir-6859-1	1	17369	17436
MIR6859-1	hsa-mir-6859-2	1	17369	17436
MIR6859-1	hsa-mir-6859-3	1	17369	17436
MIR6859-1	hsa-mir-6859-4	1	17369	17436
MIR4519	hsa-mir-4519	16	30875266	30875323
MIR548AC	hsa-mir-548ac	1	116560024	116560111
MIR548H3	hsa-mir-548h-3	17	13543529	13543646
MIR181A1	hsa-mir-181a-1	1	198859044	198859153
MIR4523	hsa-mir-4523	17	29390662	29390730
MIR34B	hsa-mir-34b	11	111512938	111513021
MIR4734	hsa-mir-4734	17	38702262	38702331
MIR3118-2	hsa-mir-3118-2	15	20832795	20832869
MIR3118-2	hsa-mir-3118-3	15	20832795	20832869
MIR3118-2	hsa-mir-3118-4	15	20832795	20832869
MIR3191	hsa-mir-3191	19	47226944	47227019
MIR6511B1	hsa-mir-6511b-1	16	2106669	2106753
MIR520C	hsa-mir-520c	19	53707453	53707539
MIR6883	hsa-mir-6883	17	8144994	8145071
MIR558	hsa-mir-558	2	32532153	32532246
MIR4737	hsa-mir-4737	17	60043025	60043105
MIR4431	hsa-mir-4431	2	52702522	52702615
MIR548AA2	hsa-mir-548d-2	17	67471489	67471585
MIR548AA2	hsa-mir-548aa-2	17	67471489	67471585
MIR216A	hsa-mir-216a	2	55988950	55989059
MIR4264	hsa-mir-4264	2	79649294	79649359
MIR1245A	hsa-mir-1245a	2	188978092	188978161
MIR1245A	hsa-mir-1245b	2	188978092	188978161
MIR6816	hsa-mir-6816	22	20114686	20114751
MIR1226	hsa-mir-1226	3	47849555	47849629
MIR3146	hsa-mir-3146	7	19705358	19705436
MIR567	hsa-mir-567	3	112112801	112112898
MIR4467	hsa-mir-4467	7	102471469	102471531
MIR5092	hsa-mir-5092	3	125151465	125151552
MIR593	hsa-mir-593	7	128081861	128081960
MIR4463	hsa-mir-4463	6	75428407	75428473
MIR6845	hsa-mir-6845	8	143837756	143837816
MIR3145	hsa-mir-3145	6	138435213	138435294
MIR101-2	hsa-mir-101-2	9	4850297	4850375
MIR4666B	hsa-mir-4666b	X	29574278	29574358
MIR30C1	hsa-mir-30c-1	1	40757284	40757372
MIR190B	hsa-mir-190b	1	154193665	154193743
MIR557	hsa-mir-557	1	168375524	168375621
MIR29B2	hsa-mir-29b-2	1	207802443	207802523
MIR3941	hsa-mir-3941	10	122416965	122417067
MIR203B	hsa-mir-203b	14	104117418	104117503
MIR3942	hsa-mir-3942	15	35372256	35372364
MIR3675	hsa-mir-3675	1	16858949	16859021
MIR6516	hsa-mir-6516	17	77089417	77089497
MIR6878	hsa-mir-6878	1	150492345	150492410
MIR3975	hsa-mir-3975	18	35591737	35591806
MIRLET7A2	hsa-let-7a-2	11	122146522	122146593
MIR4749	hsa-mir-4749	19	49854591	49854651
MIR614	hsa-mir-614	12	12915829	12915918
MIR519D	hsa-mir-519d	19	53713347	53713434
MIR6502	hsa-mir-6502	12	66251082	66251157
MIR3679	hsa-mir-3679	2	134127125	134127192
MIR8067	hsa-mir-8067	15	62304658	62304734
MIR933	hsa-mir-933	2	175167633	175167709
MIR422A	hsa-mir-422a	15	63870930	63871019
MIR1269B	hsa-mir-1269b	17	12917268	12917342
MIR10B	hsa-mir-10b	2	176150303	176150412
MIR4522	hsa-mir-4522	17	27293910	27293996
MIR2054	hsa-mir-2054	4	125507259	125507307
MIR4740	hsa-mir-4740	17	81400716	81400778
MIR1303	hsa-mir-1303	5	154685776	154685861
MIR5684	hsa-mir-5684	19	12787128	12787192
MIR1202	hsa-mir-1202	6	155946797	155946879
MIR4786	hsa-mir-4786	2	239943015	239943094
MIR5692C2	hsa-mir-5692c-2	7	97964405	97964481
MIR103B2	hsa-mir-103b-2	20	3917502	3917563
MIR647	hsa-mir-647	20	63942631	63942726
MIR4659B	hsa-mir-4659b	8	6745168	6745240
MIR4279	hsa-mir-4279	5	31936102	31936159
MIR3926-1	hsa-mir-3926-1	8	12727232	12727304
MIR3141	hsa-mir-3141	5	154596012	154596072
MIR4288	hsa-mir-4288	8	28505116	28505182
MIR1236	hsa-mir-1236	6	31956839	31956940
MIR548AZ	hsa-mir-548az	8	119325171	119325265
MIR588	hsa-mir-588	6	126484631	126484713
MIR3943	hsa-mir-3943	7	43150895	43150994
MIR6893	hsa-mir-6893	8	144435551	144435619
MIR335	hsa-mir-335	7	130496111	130496204
MIR384	hsa-mir-384	X	76919273	76919360
MIR6847	hsa-mir-6847	8	144079874	144079942
MIR4540	hsa-mir-4540	9	36864254	36864308
MIR4477A	hsa-mir-4477a	9	41233755	41233835
MIR4477A	hsa-mir-4477b	9	41233755	41233835
MIR3074	hsa-mir-3074	9	95086014	95086094
MIR8081	hsa-mir-8081	9	106600928	106601022
MIR602	hsa-mir-602	9	137838419	137838516
MIR1468	hsa-mir-1468	X	63786002	63786087
MIR514A2	hsa-mir-514a-2	X	147281943	147282030
MIR514A2	hsa-mir-514a-3	X	147281943	147282030
AC099677.5		1	52928674	52928772
MIR609	hsa-mir-609	10	104218789	104218883
MIR4701	hsa-mir-4701	12	48771975	48772037
AC007182.3		14	75604209	75604261
MIR337	hsa-mir-337	14	100874493	100874585
MIR6882	hsa-mir-6882	15	74840642	74840707
MIR512-2	hsa-mir-512-2	19	53669157	53669254
MIR3125	hsa-mir-3125	2	12737367	12737444
MIR5696	hsa-mir-5696	2	101309450	101309534
MIR1258	hsa-mir-1258	2	179860836	179860908
MIR4776-1	hsa-mir-4776-1	2	212926257	212926336
MIR4776-1	hsa-mir-4776-2	2	212926257	212926336
MIR3667	hsa-mir-3667	22	49543393	49543466
MIR4447	hsa-mir-4447	3	116850277	116850367
MIR4274	hsa-mir-4274	4	7460028	7460118
MIR4280	hsa-mir-4280	5	87114879	87114954
MIR4282	hsa-mir-4282	6	72967687	72967753
MIR29B1	hsa-mir-29b-1	7	130877459	130877539
MIR3150B	hsa-mir-3150a	8	95072911	95072996
MIR3150B	hsa-mir-3150b	8	95072911	95072996
MIR6894	hsa-mir-6894	X	53198889	53198945
MIR19B2	hsa-mir-19b-2	X	134169671	134169766
MIR4425	hsa-mir-4425	1	25023503	25023586
MIR140	hsa-mir-140	16	69933081	69933180
MIR3678	hsa-mir-3678	17	75406069	75406162
MIR371B	hsa-mir-371b	19	53787677	53787742
MIR4757	hsa-mir-4757	2	19348429	19348505
MIR559	hsa-mir-559	2	47377675	47377770
MIR4776-2	hsa-mir-4776-1	2	212926257	212926336
MIR4776-2	hsa-mir-4776-2	2	212926257	212926336
MIR4535	hsa-mir-4535	22	48780295	48780353
MIR26A1	hsa-mir-26a-1	3	37969404	37969480
SNORD138		5	86620497	86620575
MIR1289-2	hsa-mir-1289-2	5	133427596	133427706
Z97988.1		1	5564071	5564143
MIR6873	hsa-mir-6873	6	33287227	33287289
MIRLET7I	hsa-let-7i	12	62603686	62603769
MIR6509	hsa-mir-6509	7	135206994	135207078
MIR5006	hsa-mir-5006	13	41568286	41568395
MIR548F4	hsa-mir-548f-4	7	147378017	147378121
MIR4502	hsa-mir-4502	13	114273828	114273908
MIR6841	hsa-mir-6841	8	24953796	24953867
MIR500A	hsa-mir-500a	X	50008431	50008514
MIR376C	hsa-mir-376c	14	101039690	101039755
MIR660	hsa-mir-660	X	50013241	50013337
MIR4510	hsa-mir-4510	15	35926856	35926923
MIR4729	hsa-mir-4729	17	59366083	59366154
MIR338	hsa-mir-338	17	81125883	81125949
MIR181C	hsa-mir-181c	19	13874699	13874808
MIR516A1	hsa-mir-516a-1	19	53756741	53756830
MIR5192	hsa-mir-5192	2	62205826	62205917
MIR4778	hsa-mir-4778	2	66358249	66358328
MIR4439	hsa-mir-4439	2	225010461	225010540
MIR425	hsa-mir-425	3	49020148	49020234
MIR5787	hsa-mir-5787	3	50227436	50227490
MIR6828	hsa-mir-6828	3	170423103	170423162
MIR4797	hsa-mir-4797	3	197293878	197293948
MIR576	hsa-mir-576	4	109488698	109488795
MIR3139	hsa-mir-3139	4	143343460	143343535
MIR7849	hsa-mir-7849	4	146408583	146408688
MIR4633	hsa-mir-4633	5	129097688	129097766
MIR1913	hsa-mir-1913	6	166509354	166509433
MIR1912	hsa-mir-1912	X	114651544	114651623
MIR429	hsa-mir-429	1	1169005	1169087
MIR552	hsa-mir-552	1	34669599	34669694
MIR6733	hsa-mir-6733	1	43171652	43171712
MIR7852	hsa-mir-7852	1	107897223	107897304
MIR664A	hsa-mir-664a	1	220200538	220200619
MIR1302-1	hsa-mir-1302-1	12	112695034	112695176
MIR127	hsa-mir-127	14	100882979	100883075
MIR487B	hsa-mir-487b	14	101046455	101046538
MIR147B	hsa-mir-147b	15	45433050	45433129
MIR6770-1	hsa-mir-6770-1	16	14930820	14930879
MIR6770-1	hsa-mir-6770-2	16	14930820	14930879
MIR6770-1	hsa-mir-6770-3	16	14930820	14930879
MIR5010	hsa-mir-5010	17	42514188	42514307
MIR152	hsa-mir-152	17	48037161	48037247
MIR6790	hsa-mir-6790	19	6392921	6392983
MIR4322	hsa-mir-4322	19	10230413	10230485
MIR6795	hsa-mir-6795	19	15179283	15179350
MIR523	hsa-mir-523	19	53698385	53698471
MIR6513	hsa-mir-6513	2	218280125	218280188
MIR103A2	hsa-mir-103a-2	20	3917494	3917571
MIR3156-3	hsa-mir-3156-3	21	13406384	13406460
MIR6082	hsa-mir-6082	4	171186184	171186292
MIR877	hsa-mir-877	6	30584332	30584417
MIR653	hsa-mir-653	7	93482760	93482855
MIR25	hsa-mir-25	7	100093560	100093643
MIR875	hsa-mir-875	8	99536786	99536861
MIR5194	hsa-mir-5194	8	130008334	130008453
MIR450A1	hsa-mir-450a-1	X	134540341	134540431
MIR450A2	hsa-mir-450a-2	X	134540508	134540607
MIR509-1	hsa-mir-509-1	X	147260532	147260625
MIR509-1	hsa-mir-509-2	X	147260532	147260625
MIR6732	hsa-mir-6732	1	37480230	37480289
MIR146B	hsa-mir-146b	10	102436512	102436584
MIR6715A	hsa-mir-6715a	10	112299612	112299690
MIR6715A	hsa-mir-6715b	10	112299612	112299690
MIR6760	hsa-mir-6760	12	111304142	111304209
MIR190A	hsa-mir-190a	15	62823957	62824041
MIR629	hsa-mir-629	15	70079372	70079468
MIR4736	hsa-mir-4736	17	58335976	58336022
MIR4730	hsa-mir-4730	17	80419418	80419493
MIR4527	hsa-mir-4527	18	47380496	47380565
MIR5011	hsa-mir-5011	18	67081584	67081686
MIR520B	hsa-mir-520b	19	53701227	53701287
MIR4773-2	hsa-mir-4773-1	2	151368334	151368411
MIR4773-2	hsa-mir-4773-2	2	151368334	151368411
MIR648	hsa-mir-648	22	17980868	17980961
MIR135A1	hsa-mir-135a-1	3	52294219	52294308
MIR302A	hsa-mir-302a	4	112648183	112648251
MIR103A1	hsa-mir-103a-1	5	168560896	168560973
