Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
C19orf71	19	3539154	3544030
PPP2R3B	CHR_HSCHRX_2_CTG3	333240	385935
TPSB2	16	1227272	1230184
SIT1	9	35649295	35650950
HERC1	15	63608618	63833948
FZR1	19	3506273	3538330
PRTN3	CHR_HSCHR19_5_CTG2	840960	848175
PPP1R10	CHR_HSCHR6_MHC_SSTO_CTG1	30592623	30610835
MOG	CHR_HSCHR6_MHC_MCF_CTG1	29656787	29672153
SPATC1L	CHR_HSCHR21_5_CTG2	46161526	46186787
KCTD21	11	78171249	78188626
CLOCK	4	55427903	55546909
ALKBH3	11	43880811	43920274
TKFC	11	61333210	61353295
MBD3L1	19	8832398	8843340
PRB3	CHR_HSCHR12_3_CTG2	11262181	11266062
ATF4	22	39519695	39522685
TPSG1	16	1221651	1225257
GHITM	10	84139509	84153568
LHX1	17	36936785	36944612
TUBGCP5	CHR_HSCHR15_2_CTG3	23036897	23039673
TNFRSF10C	8	23102590	23117437
CSGALNACT1	8	19404161	19758029
YWHAZ	8	100916523	100953388
LSM14A	CHR_HSCHR19_1_CTG3_1	34172447	34229322
CACNA1H	16	1153106	1221771
RXFP3	CHR_HSCHR5_6_CTG1	33938372	33940223
HOMER3	19	18929201	18941261
ELANE	CHR_HSCHR19_5_CTG2	851006	856290
SFTA2	CHR_HSCHR6_MHC_MCF_CTG1	31009891	31010713
PRB4	CHR_HSCHR12_3_CTG2	11303340	11306692
CDK8	13	26254104	26405238
TAX1BP1	7	27739331	27844564
MUC16	19	8848844	8981342
CYP21A2	CHR_HSCHR6_MHC_COX_CTG1	31986739	31990111
MIPOL1	14	37197913	37552361
NAA50	3	113716458	113746300
LSS	CHR_HSCHR21_5_CTG2	46190452	46221883
P2RY11	19	10111693	10115372
CHUK	10	100188300	100229596
EIF3G	19	10115014	10119918
LMAN1L	15	74812716	74825758
JDP2	14	75427716	75474111
LRTM2	12	1820267	1836753
OXLD1	17	81665036	81666635
MEIS2	15	36889204	37101299
CCDC137	17	81666737	81673904
CTDSPL	3	37861880	37984469
LMBRD1	6	69672757	69867236
TNNI2	11	1838981	1841680
QDPR	4	17460261	17512206
MAP3K9	14	70722526	70809534
CLIC1	CHR_HSCHR6_MHC_MANN_CTG1	31770035	31779217
HMOX1	22	35380361	35394207
CSNK1A1	5	149492197	149551552
TPBGL	11	75240905	75243697
CPLX3	15	74826627	74831802
LRCH3	3	197791226	197888436
AKAP13	15	85380571	85749358
DDB1	11	61299451	61342596
KL	13	33016423	33066143
SLITRK1	13	83877205	83882393
AMBP	9	114060127	114078328
MANBA	4	102630770	102760994
TAF11L13	5	17632088	17632684
TAF11L14	5	17634460	17635053
TAF1L	9	32629454	32635669
SUMF2	7	56064002	56080670
MTMR2	11	95832882	95925315
SLC45A2	CHR_HSCHR5_6_CTG1	33946602	33956490
OVCH2	11	7689438	7706421
TMEM215	9	32783540	32789201
TTYH1	CHR_HSCHR19_4_CTG3_1	54423352	54444827
ZBED4	22	49853844	49890080
ARHGEF39	9	35658875	35675866
KLF13	15	31326835	31435665
MED19	11	57703714	57712323
OR5P2	11	7795905	7796973
OR5P3	11	7824818	7830840
FAM81B	5	95391344	95450454
KIR2DL1	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	54769765	54784000
CLDN17	21	30165564	30166756
PLVAP	19	17351450	17377342
CPNE9	3	9703826	9729908
SMIM32	5	136191468	136193134
HMG20B	19	3572777	3579088
PPAN	19	10106362	10112012
C17orf99	17	78146353	78166177
TMEM165	4	55395957	55453397
PRB1	CHR_HSCHR12_3_CTG2	11348080	11351848
ANKRD2	10	97572499	97583884
FNDC8	17	35121615	35130732
CHAT	10	49609095	49665104
CCDC107	9	35658290	35661511
GABRG3	15	26971181	27541984
MUCL3	CHR_HSCHR6_MHC_MCF_CTG1	31019512	31029672
KLHL8	4	87160103	87240314
NLE1	17	35128730	35142304
CCNDBP1	15	43185118	43197177
IL17RA	22	17084954	17115694
PPAN-P2RY11	19	10106223	10114780
TRPC7	5	136213320	136365545
SLC35E2A	1	1724838	1745999
C8orf34	8	68330955	68819023
ST8SIA2	15	92393881	92468728
ACAA2	18	49782164	49813953
ATXN3L	X	13318236	13320399
MYO16	13	108596152	109208005
ZFPL1	11	65084210	65088398
HBA1	16	176680	177522
LILRA1	CHR_HSCHR19LRC_COX1_CTG3_1	54525581	54534404
RPS19BP1	22	39529093	39532761
C10orf62	10	97589727	97590934
CDK11A	1	1702379	1724357
HOGA1	10	97584323	97612802
STX11	6	144150526	144188370
CA9	9	35673918	35681159
JAZF1	7	27830573	28180795
CTRC	1	15438439	15449242
TMEM121B	22	17116299	17121367
SPACA7	13	112376355	112434689
PI4K2A	10	97640686	97676434
KATNAL1	13	30202630	30307551
ZCCHC17	1	31296982	31364953
KIR2DL4	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	54803541	54814525
VPS51	11	65089324	65111862
SLC6A6	3	14402576	14489349
HBQ1	16	180459	181179
ADM	11	10305073	10307397
CCDC125	CHR_HSCHR5_2_CTG1_1	69281282	69332741
MORN4	10	97614553	97633500
IDE	10	92451684	92574076
PI4KA	22	20707691	20859417
PRRC2A	6	31620720	31637771
PUM3	9	2720469	2844095
DDAH2	CHR_HSCHR6_MHC_DBB_CTG1	31709206	31712785
MYO5B	18	49822789	50195147
PTPN20	10	46911396	47002488
IL2	4	122451470	122456725
C5orf22	5	31532287	31555053
PDK3	X	24465221	24550466
CLDN8	21	30214006	30216073
COL19A1	6	69866556	70212468
XPO4	13	20777329	20903048
TMEM262	11	65084979	65089375
SLC26A6	3	48625723	48635493
GOLGA6B	15	72654738	72666394
ZFYVE28	4	2269582	2418663
KCNV2	9	2717510	2730037
ARMH1	1	44674692	44725591
IL21	4	122610108	122621069
FBXL16	16	692498	705808
PLA2G2C	1	20161253	20177424
KRTAP24-1	21	30281309	30282958
SLC5A8	CHR_HSCHR12_3_CTG2_1	101161669	101216388
CYP39A1	6	46549580	46652830
UBXN10	1	20186096	20196050
GRIP2	3	14489107	14556075
PPT1	1	40071461	40097727
VIP	6	152750797	152759765
GGT6	17	4556927	4560818
WDR24	16	684622	690444
MIS18BP1	14	45203190	45253540
KIR3DL1	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	54816496	54820397
STARD13	13	33103137	33350630
TOM1L2	17	17843511	17972422
KIR3DL2	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	54850439	54867235
HIGD2B	15	72675782	72686149
KRTAP25-1	21	30289145	30289514
EGFL6	X	13569601	13633575
KRTAP26-1	21	30319124	30320316
ZBTB2	6	151364115	151391559
SNAP29	22	20859007	20891214
INAFM1	19	47274453	47275707
UBE2L3	22	21549447	21624034
SNX24	5	122843439	123029354
CLIC1	CHR_HSCHR6_MHC_DBB_CTG1	31712749	31721936
RHOBTB1	10	60869438	61001440
RPS27A	2	55231903	55235853
MRPL32	7	42932376	42948958
LRRC25	19	18391137	18397622
SERPIND1	22	20774113	20787720
RIMBP3C	22	21545357	21551461
C10orf99	10	84173801	84185294
BARX1	9	93951627	93955355
MTCH1	6	36968141	36986298
EPB42	15	43197227	43221125
PIK3C2A	11	17077730	17207983
ABCG8	2	43831942	43882988
SCML1	X	17737449	17754988
ACSL6	5	131949973	132012243
MGA	15	41621224	41773081
SLC18A3	10	49610310	49612720
CNOT3	CHR_HSCHR19_4_CTG3_1	54138190	54156165
ARL16	17	81681174	81683924
TNF	CHR_HSCHR6_MHC_MANN_CTG1	31615015	31617784
CNN2	19	1026586	1039068
MCM5	22	35400134	35425431
PRR27	4	70133616	70176799
DEFB131B	11	71878453	71884561
ACSS2	20	34872146	34927962
PHKG1	7	56080283	56092996
SRR	17	2303383	2325260
KIR3DL1	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	54816438	54830737
CAMSAP1	9	135808487	135907546
PAM	5	102753981	103031105
ABCG5	2	43812472	43838865
SMC6	2	17663812	17800242
TMEM138	11	61362344	61369509
HSPA12B	20	3732685	3753111
PPP1R1B	17	39626740	39636626
POLR2B	4	56977722	57031158
HGS	17	81683326	81703138
CLHC1	2	55172547	55232563
KIR2DL1	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	54769814	54784135
PPIC	5	123023250	123036741
PSMB7	9	124353465	124415444
ITGA2B	17	44372180	44389505
TSR1	17	2322503	2337507
KRTAP27-1	21	30337013	30337694
PLIN2	9	19108375	19149290
KRTAP23-1	21	30348399	30348609
YKT6	7	44200968	44214294
KRTAP13-2	21	30371391	30372257
PCDH15	10	53802771	55627942
KRTAP13-1	21	30396074	30396822
KRTAP13-3	21	30425265	30425968
OR2H2	CHR_HSCHR6_MHC_QBL_CTG1	29587374	29588957
KRTAP13-4	21	30430230	30431026
PECAM1	17	64319415	64413776
KIR2DL4	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	54803535	54814517
ANKDD1B	5	75611459	75671846
VPS4B	18	63389190	63422483
KCNA4	11	30009730	30017030
BATF	14	75522425	75547015
SGSM2	17	2337498	2381058
TNFRSF1A	12	6328757	6342114
ZNF536	19	30228290	30713538
KCNS2	8	98427022	98432848
XYLB	3	38346760	38421348
TMEM62	15	43123279	43185144
VWA5B1	1	20290919	20354894
SPOCK1	5	136975298	137598379
STK3	8	98371228	98942827
TEX38	1	46668855	46673594
SKIV2L	CHR_HSCHR6_MHC_SSTO_CTG1	31951734	31962405
FSHB	11	30231016	30235261
LENG1	CHR_HSCHR19_4_CTG3_1	54156123	54160192
ATPAF1	1	46632737	46673867
CWF19L1	10	100232298	100267680
LY6G6E	CHR_HSCHR6_MHC_COX_CTG1	31699739	31701215
MYLIP	6	16129086	16148248
VPS35L	16	19555240	19706793
SH3GL3	15	83447228	83618743
LY6G6F	CHR_HSCHR6_MHC_COX_CTG1	31694294	31698004
RALYL	8	84182787	84921844
LY6G6D	CHR_HSCHR6_MHC_COX_CTG1	31694313	31705325
SLITRK6	13	85792787	85806683
SOGA1	20	36777447	36863538
ANO4	CHR_HSCHR12_3_CTG2_1	101111599	101128641
TMEM26	10	61406643	61453450
ARHGAP27	CHR_HSCHR17_2_CTG5	45393902	45434423
KRTAP15-1	21	30440275	30440945
CUBN	10	16823966	17129817
FAM174B	15	92617448	92809884
SMTNL2	17	4583999	4608319
ZFP57	CHR_HSCHR6_MHC_MCF_CTG1	29672173	29680888
CAP1	1	40040233	40072649
INTS10	8	19817391	19852083
OR10A6	11	7924592	7931268
KRTAP19-1	21	30479699	30480344
KRTAP19-2	21	30487043	30487436
NRM	6	30688047	30691420
RAI2	X	17800049	17861337
OR10A3	11	7937171	7941708
YDJC	22	21628089	21630064
FBXO5	6	152970519	152983579
MOG	6	29657002	29672372
ARL14EP	11	30323104	30338223
CFD	CHR_HSCHR19_5_CTG2	859680	863666
ARHGEF37	5	149551947	149634968
CDHR1	10	84194537	84219621
COX8C	CHR_HSCHR14_7_CTG1	93347191	93348356
MAML2	11	95976598	96343195
CEP72	5	612340	667168
TSHZ3	19	31149979	31349547
SLC25A27	6	46652915	46678190
UNC79	CHR_HSCHR14_7_CTG1	93333219	93707876
GMPR	6	16238580	16295549
OTUD7A	15	31475398	31870789
MTRF1L	6	152987362	153002709
ABHD16A	CHR_HSCHR6_MHC_QBL_CTG1	31677180	31693655
MDC1	CHR_HSCHR6_MHC_COX_CTG1	30689666	30707748
CLRN2	4	17515165	17527104
TPPP	5	659862	693352
MAGI1	3	65353525	66038834
PDXK	21	43719094	43762307
CCDC116	22	21632716	21637329
TUBG1	17	42609683	42615238
IGFBP7	4	57030773	57110385
PAPLN	14	73237497	73274640
NELFE	CHR_HSCHR6_MHC_SSTO_CTG1	31944741	31951746
WASF3	13	26557703	26688948
KIR2DL3	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	54738506	54752764
IRX1	5	3595832	3601403
LILRB5	CHR_HSCHR19LRC_PGF2_CTG3_1	54251046	54258245
FAM20C	CHR_HSCHR7_1_CTG1	196274	199037
SMG6	17	2059839	2303785
NCKIPSD	3	48673844	48686364
SERPINF2	CHR_HSCHR17_1_CTG2	1741760	1754189
OSBPL10	3	31657890	32077580
CSTF1	20	56392371	56406369
POTEB3	15	21408243	21440451
HEATR9	CHR_HSCHR17_7_CTG4	35854946	35868891
GEN1	2	17753858	17788946
RETREG3	17	42579513	42610623
PPP5C	19	46346994	46392981
PLA2G7	6	46704201	46735693
SLC35B1	17	49700934	49709014
LHX6	9	122202577	122229626
CBWD1	9	121038	179147
PPP2R2A	8	26291508	26372680
NLRP1	17	5499427	5619424
GSTT4	CHR_HSCHR22_1_CTG7	23998411	24005163
KIR3DL3	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	54724479	54736536
FOXA1	14	37589552	37596059
ADCK1	14	77800109	77935014
GGT7	20	34844720	34872856
HLA-E	CHR_HSCHR6_MHC_QBL_CTG1	30478970	30483708
ARRB1	11	75260122	75351705
TDRD6	6	46687875	46704319
SH3GL1	19	4360370	4400547
TTC6	14	37595847	38041442
LENG8	CHR_HSCHR19_4_CTG3_1	54456812	54469943
MUC4	CHR_HSCHR3_8_CTG3	195747140	195791872
KRTAP19-3	21	30491464	30491985
NLRP10	11	7957537	7965426
CTSL	9	87726109	87731469
KRTAP19-4	21	30496824	30497133
KRTAP19-5	21	30501657	30502117
TMEM245	9	109015135	109119947
KDM4A	1	43650149	43705518
ZNF860	3	31981771	31991628
OR2H2	CHR_HSCHR6_MHC_APD_CTG1	29587555	29589138
LY6L	CHR_HSCHR8_4_CTG7	143085735	143088278
SYNGR2	17	78168558	78173527
CELSR3	3	48636463	48662886
DGCR6	22	18906028	18914238
GABBR1	CHR_HSCHR6_MHC_APD_CTG1	29555714	29633284
LY6H	CHR_HSCHR8_4_CTG7	143163211	143166008
KRTAP19-6	21	30541535	30541864
RBM42	19	35629030	35637686
LENG9	CHR_HSCHR19_4_CTG3_1	54469723	54471641
HLA-F	CHR_HSCHR6_MHC_MCF_CTG1	29719887	29722948
HIC1	17	2054154	2063241
SDF2L1	22	21642302	21644299
C11orf52	11	111918032	111926871
TAF15	CHR_HSCHR17_7_CTG4	35809455	35864615
FLVCR2	14	75578620	75663214
SLITRK5	13	87672615	87696272
ZNF615	19	51991332	52008230
IGLL1	22	23573125	23580302
HSPB2-C11orf52	11	111912736	111926871
RASD2	22	35540831	35553999
ALOX15	17	4630902	4642294
FRAT2	10	97332497	97334709
CRYAB	11	111908619	111923722
PRODH	22	18912777	18936553
LILRB1	CHR_HSCHR19LRC_COX1_CTG3_1	54548949	54569575
DNTTIP1	20	45791954	45811427
C10orf53	10	49679651	49710261
LSM14A	19	34172504	34229515
KAT7	17	49788681	49835026
MB	22	35606764	35637951
KRTAP19-7	21	30560875	30561314
PHC3	3	170086732	170181749
POTEM	14	18967434	18999012
EIF3F	11	7970251	8001862
GOLGA6L1	CHR_HSCHR15_2_CTG3	23133045	23141599
MPPED2	11	30384493	30586872
CAPN15	16	527712	554636
OR51L1	11	4994851	5005536
SERPINF1	CHR_HSCHR17_1_CTG2	1760880	1765915
LITAF	16	11547722	11636381
PPIL2	22	21666009	21700015
TUBB	CHR_HSCHR6_MHC_COX_CTG1	30710059	30715284
SLC6A20	3	45755449	45796536
ARPP19	15	52547045	52569883
KRTAP22-2	21	30590105	30590397
BEND2	X	18162931	18220883
KRTAP6-3	21	30592440	30593075
AMZ1	7	2679522	2775500
RNF39	CHR_HSCHR6_MHC_DBB_CTG1	30060589	30066210
POTED	21	13609858	13641585
KCNJ6	21	37607373	38121345
KLHL21	1	6590724	6614607
RGL4	22	23688136	23699176
BBS4	15	72686179	72738475
IQCK	16	19716456	19858467
PPP1R11	CHR_HSCHR6_MHC_DBB_CTG1	30057032	30060656
IER3	CHR_HSCHR6_MHC_QBL_CTG1	30732716	30734071
BLOC1S2	10	100273280	100286680
HSPB2	11	111912734	111914093
C11orf96	11	43925342	43943883
TTLL5	14	75633625	75955079
RUNDC1	17	42980565	42993690
GNA12	7	2728105	2844308
PHF13	1	6613731	6624030
MED16	CHR_HSCHR19_5_CTG2	868013	881626
PCDHB1	5	141051135	141059344
MASP1	3	187217285	187292022
OR52J3	11	5046526	5047461
CEP63	3	134485721	134575017
PCDHB2	5	141094578	141098703
OR52E2	11	5058650	5059627
USP35	11	78188812	78215232
SLC38A9	5	55625845	55773194
XPNPEP1	10	109864766	109923553
SSBP4	19	18418864	18434562
PCDH1	5	141853111	141879246
CRYBG1	6	106360808	106571978
DLGAP2	CHR_HSCHR8_5_CTG1	1501879	1707457
AK6	CHR_HSCHR5_2_CTG1_1	69350995	69370027
FOXD4L3	9	68302867	68304905
SCML2	X	18239313	18354688
BPIFA1	20	33235995	33243311
ARHGEF1	19	41883161	41930150
NDUFAF6	8	94895767	95116455
KNOP1	16	19701937	19718235
DRICH1	22	23608452	23632321
PGM5	9	68328308	68531061
ZNF595	4	53286	88208
RAD17	CHR_HSCHR5_2_CTG1_1	69369307	69415042
GPRC5B	16	19856691	19886167
ITGA11	15	68296532	68432163
RTN4IP1	6	106571971	106629487
PRR3	CHR_HSCHR6_MHC_QBL_CTG1	30546378	30553215
MAST4	5	66596361	67169595
KIR2DL3	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1	54738514	54753065
CDC42EP5	CHR_HSCHR19_4_CTG3_1	54472957	54481158
CCDC82	11	96352769	96389956
SOX2	3	181711925	181714436
ADGRD2	9	124451425	124478589
DNAJC19	3	180983709	180989774
TXNDC11	16	11679080	11742878
IL7R	5	35852695	35879603
PRIMA1	CHR_HSCHR14_7_CTG1	93718298	93788481
RPL27	17	42998273	43002959
GSTT1	CHR_HSCHR22_1_CTG7	24033952	24042493
TUBGCP3	13	112485011	112588205
ALG12	22	49900229	49918438
GNL1	CHR_HSCHR6_MHC_QBL_CTG1	30530868	30546666
LAIR2	CHR_HSCHR19_4_CTG3_1	54505847	54518644
NR5A1	9	124481236	124507420
SYBU	8	109573978	109691791
USP42	7	6104884	6161564
SNN	16	11668455	11679152
HECW1	7	43112629	43566001
SRD5A2	2	31522480	31580938
KRTAP6-2	21	30598590	30598902
PRDM6	5	123089241	123194266
FAM181A	CHR_HSCHR14_7_CTG1	93918894	93929608
KIF11	10	92593130	92655395
YPEL1	22	21697536	21735794
KIR3DL3	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1	54724447	54736132
CRELD2	22	49918167	49927540
TNFRSF10D	8	23135588	23164027
LYRM2	6	89568144	89638749
ISYNA1	19	18434388	18438301
UBE2L5	13	30422488	30428616
KRTAP22-1	21	30601087	30601382
FABP3	1	31365625	31376850
FHIT	3	59747277	61251459
C19orf24	19	1275530	1279244
KRTAP6-1	21	30613431	30613930
CIDEC	3	9866711	9880254
NELFE	CHR_HSCHR6_MHC_MCF_CTG1	32028530	32035535
ERG28	14	75649791	75661189
SERPINB5	18	63476958	63505085
NOMO2	16	18417325	18562211
LARP1B	4	128061286	128222931
CCNE2	8	94879770	94896678
RNF144B	6	18387350	18468874
RPL34	4	108620566	108630412
TGFB3	14	75958099	75982991
ANKRD6	6	89433152	89633834
LRRC3	21	44455510	44462196
GUCD1	22	24540423	24555935
KRTAP20-1	21	30616425	30616699
TUBG2	17	42659284	42667006
SPAG7	17	4959226	4967817
SERINC2	1	31409565	31434680
KRTAP20-4	21	30620627	30620850
ANAPC13	3	134477706	134486716
FRRS1L	9	109130293	109167295
NPC1	18	23506184	23586506
DDX39A	19	14408819	14419383
FAM117A	17	49710332	49789180
KRTAP20-2	21	30635236	30635619
IFT43	14	75902136	76084585
KIR3DL2	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1	54922093	54938887
HSD17B13	4	87303789	87322886
PDZD2	5	31639131	32110932
PCDHB7	5	141172619	141176383
DDX4	5	55738017	55817157
PCDHB16	5	141181399	141186399
EFNA2	19	1285873	1301431
HSD17B11	4	87336515	87391188
PCDHB15	5	141245395	141249365
TCEANC	X	13653189	13681964
GAB2	11	78215293	78418348
MARCH10	17	62701314	62808344
RFC3	13	33818069	33966558
PCDHB10	5	141192353	141195642
PCDHB4	5	141121799	141125623
PCDHB9	5	141187127	141191541
PCDHB8	5	141177790	141180529
PCDHB5	5	141135218	141138625
WBP1L	10	102743948	102834516
PCNX1	14	70907405	71115382
PCDHB13	5	141213919	141218979
ACR	22	50738196	50745334
UBD	CHR_HSCHR6_MHC_APD_CTG1	29555714	29560028
PCDHB3	5	141100473	141103827
UBE2B	5	134371179	134391992
PCDHB12	5	141208697	141212571
INTS8	8	94813311	94881746
SOCS7	17	38351844	38405593
RPL10L	14	46651010	46651821
PCDHB6	5	141150022	141153287
CYP17A1	10	102830531	102837472
PCDHB14	5	141222932	141227759
RMC1	18	23503470	23531807
TK1	17	78174091	78187233
LTB	CHR_HSCHR6_MHC_MANN_CTG1	31620003	31621970
PXDC1	6	3722614	3752026
SINHCAF	CHR_HSCHR12_4_CTG2	31282857	31329331
NARS2	11	78435968	78574874
PCDHB11	5	141199582	141203779
KIR3DX1	CHR_HSCHR19_4_CTG3_1	54540656	54553413
OR52A5	11	5128776	5138356
OR52A1	11	5143219	5154757
PAXBP1	21	32733899	32771792
OR51V1	11	5199735	5200700
GGT1	22	24594811	24629005
MEIKIN	5	131806990	131945698
ATXN1	6	16299112	16761491
GPR20	CHR_HSCHR8_5_CTG7	141356500	141367267
RDH10	8	73294602	73325281
LPL	8	19901717	19967259
OSR2	8	98944403	98952104
TLDC2	20	36876121	36894235
RABL2B	22	50767501	50783663
RNF121	11	71929018	71997597
MED26	19	16574907	16629062
C6orf15	CHR_HSCHR6_MHC_MCF_CTG1	31189747	31191083
SKIV2L	CHR_HSCHR6_MHC_MCF_CTG1	32035523	32046194
KCNJ15	21	38155549	38307357
RPL7	8	73290242	73295789
BST2	19	17402939	17405630
KIR2DL5B	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1	54771247	54780763
SAMHD1	20	36889773	36951901
KIR2DS1	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1	54905771	54920219
C8orf86	8	38510834	38560939
KIAA0355	CHR_HSCHR19_1_CTG3_1	34261710	34308123
PTK7	6	43076307	43161719
ID4	6	19837370	19842197
C19orf44	19	16496394	16521352
CCDC194	19	17390509	17394158
KIR2DL1	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1	54814247	54828575
CHD8	14	21385194	21456126
PSORS1C1	CHR_HSCHR6_MHC_MCF_CTG1	31193274	31218582
KIR2DS3	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1	54782627	54797062
KIAA0355	19	34254537	34355586
DAPK2	15	63907036	64072033
HHEX	10	92689955	92695647
JAGN1	3	9890572	9894349
KIR3DS1	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1	54860882	54875495
FAM167B	1	32247222	32248856
PSORS1C2	CHR_HSCHR6_MHC_MCF_CTG1	31216078	31217894
ASB2	CHR_HSCHR14_7_CTG1	93934153	93976791
CDSN	CHR_HSCHR6_MHC_MCF_CTG1	31193614	31198966
TTC39A	1	51287258	51345116
OR1M1	19	9087061	9095669
ZNF200	16	3222325	3236221
HMGB1	13	30456704	30617597
OR7G2	19	9100407	9107475
AATF	17	36948954	37056871
C11orf65	11	108308519	108467531
OR7G1	19	9114828	9115763
SHROOM2	X	9786429	9949443
ZNF773	19	57499915	57518404
KIR3DL1	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1	54816499	54830812
PTP4A3	CHR_HSCHR8_5_CTG7	141391991	141438356
ZNF419	19	57487711	57496097
TNFRSF10A	8	23190452	23225126
APOL6	22	35648446	35668404
PRRC2A	CHR_HSCHR6_MHC_MCF_CTG1	31697009	31714058
CHERP	19	16517894	16542437
ZNF70	22	23738682	23751112
MIEF2	17	18260597	18266552
VPREB3	22	23752743	23754425
ATM	11	108222484	108369102
PLEKHH3	17	42667914	42676994
ZNF614	19	52012765	52030240
LMAN2	5	177331567	177351668
KIF12	9	114086126	114099291
SLC28A2	15	45252234	45277846
WDFY2	13	51584455	51767709
RFX3	9	3218297	3526004
OR7G3	19	9126012	9126950
ABCF1	CHR_HSCHR6_MHC_MANN_CTG1	30616012	30641816
PKD2L1	10	100288149	100330264
RAB9A	X	13689125	13710506
ZNF317	19	9140397	9163424
KLHL3	5	137617500	137736089
KIR2DL4	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1	54837484	54858960
TMC4	CHR_HSCHR19_4_CTG3_1	54160592	54173691
TAF9	CHR_HSCHR5_2_CTG1_1	69364756	69370027
BBS12	4	122732702	122744942
SSTR1	14	38207904	38213067
CCDC77	12	389273	442642
AVPI1	10	97677424	97687241
DHRS12	13	51767993	51804162
NUCB2	11	17208153	17349980
OR1F1	16	3204247	3205188
NUDT6	4	122888697	122922968
DNAJC5B	8	66021560	66100526
POLG	15	89305198	89334861
DPY30	2	31867809	32039805
EIF1AY	Y	20575776	20593154
GCLC	6	53497341	53616970
TINAGL1	1	31576485	31587686
MDGA2	14	46840092	47675605
SLC35G4	18	11609596	11610612
SLC35E1	19	16549831	16572415
APOL5	22	35717872	35729483
FAM214A	15	52581317	52709817
FGF2	4	122826708	122898236
KIR2DL4	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1	54803627	54814543
DEFB110	6	50009138	50021981
TCTE3	CHR_HSCHR6_1_CTG4	169740114	169751587
TMEM272	13	51813347	51845177
FBXL4	6	98868535	98948006
HCN2	19	589881	617159
DEFB112	6	50042144	50049874
MEMO1	2	31865060	32011230
TRAPPC2	X	13712244	13734635
ACCSL	11	44047981	44059977
MDC1	6	30699807	30717447
TRIM31	CHR_HSCHR6_MHC_DBB_CTG1	30093221	30103423
TTYH1	CHR_HSCHR19LRC_PGF1_CTG3_1	54345546	54367221
CMBL	5	10275875	10307902
KIR2DL5A	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1	54877583	54887079
CALR3	19	16479057	16496192
RPS8	1	44775251	44778779
PELP1	17	4669774	4704337
TP53INP1	8	94925972	94949378
DMC1	22	38518948	38570204
KRTAP12-3	21	44657932	44658341
KRTAP10-10	21	44637356	44638455
KRTAP10-9	21	44627123	44628293
UGDH	4	39498755	39528311
KRTAP10-6	21	44591268	44592505
KRTAP12-2	21	44666189	44666927
CTNND1	11	57753243	57819546
CPAMD8	19	16892947	17026815
KRTAP12-1	21	44681576	44682163
KRTAP10-2	21	44550357	44551505
NR6A1	9	124517275	124771311
KRTAP10-1	21	44538981	44540195
PLEKHM1	CHR_HSCHR17_1_CTG5	45435832	45490687
SMIM7	19	16630751	16660442
CARD11	7	2906141	3043945
KDM5A	12	280129	389454
PWWP3A	19	1354711	1378431
NCOA1	2	24491914	24770702
TSPEAR	21	44497892	44711572
GNB1L	22	19783223	19854939
MARVELD1	10	97713173	97718150
KIF2C	1	44739818	44767767
FAM50B	6	3849373	3851320
KIR2DL3	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1	54738479	54753050
MICB	CHR_HSCHR6_MHC_QBL_CTG1	31488393	31501409
KIR2DL1	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1	54769810	54784323
GPD1L	3	32105689	32168713
ZFYVE27	10	97737121	97760907
LRRC75B	22	24585620	24593208
UBXN6	19	4444999	4457794
ADAMTSL3	15	83654088	84039842
MEGF9	9	120600811	120714470
RTL10	22	19846138	19854896
ZNF432	19	52031378	52095738
KIR3DL3	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1	54724486	54736500
NPAT	11	108157215	108222638
SNRPD3	22	24555958	24582052
TBX1	22	19756703	19783593
ATP6V1C1	8	103021063	103073051
HEY1	8	79764010	79767857
CIAO2A	15	64072565	64093857
TRIM40	CHR_HSCHR6_MHC_DBB_CTG1	30126433	30139059
